"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Trait"
6,0.0105540102092022,0.0017590017015337,7.81765947157216,3.60183418905704e-08,"Year:Rep:Block","400","Point"
723,0.162677619156147,0.00022500362262261,NA,NA,"Residuals","400","Point"
437,1.25506675386376,0.00287200630174772,6.76293305165426,6.43255372191999e-138,"taxa","450","Point"
3,0.436099671511781,0.145366557170594,342.305757997794,2.55185930913243e-153,"Year","450","Point"
957,0.750529723252085,0.000784252584380444,1.8467395842844,5.58906144548576e-22,"taxa:Year","450","Point"
4,0.0101071821277285,0.00252679553193211,5.9500388307912,9.84201356437459e-05,"Year:Rep","450","Point"
8,0.0326689654854257,0.00408362068567821,9.61601417405877,6.63162877857625e-13,"Year:Rep:Block","450","Point"
1010,0.428915433970718,0.000424668746505662,NA,NA,"Residuals","450","Point"
437,2.30776545157026,0.00528092780679694,8.49609769553652,3.14742220284243e-171,"taxa","500","Point"
3,1.11213813267875,0.370712710892916,596.41251006492,5.42872803206292e-223,"Year","500","Point"
957,1.30914044512961,0.00136796284757535,2.20081516393874,8.4788413342183e-35,"taxa:Year","500","Point"
4,0.0179621369819666,0.00449053424549165,7.22449142473505,9.78212700250582e-06,"Year:Rep","500","Point"
8,0.041316906309502,0.00516461328868775,8.30896779234167,5.88041991036473e-11,"Year:Rep:Block","500","Point"
1010,0.627786694080392,0.000621570984238012,NA,NA,"Residuals","500","Point"
437,3.59234765259019,0.00822047517755192,8.87776384277602,5.70467277348037e-178,"taxa","550","Point"
3,3.30820393375158,1.10273464458386,1190.90655277406,0,"Year","550","Point"
957,1.99134153330996,0.0020808166492267,2.24719355182731,1.62617532723772e-36,"taxa:Year","550","Point"
4,0.0359438826048932,0.0089859706512233,9.70446642275903,1.05442032386794e-07,"Year:Rep","550","Point"
8,0.0448042752893577,0.00560053441116971,6.04833915580439,1.28455056570301e-07,"Year:Rep:Block","550","Point"
1010,0.935221985667423,0.000925962362046954,NA,NA,"Residuals","550","Point"
437,4.76956363010071,0.0109143332496584,8.6326511626404,1.15700547008483e-173,"taxa","600","Point"
3,5.90257476627396,1.96752492209132,1556.20649632878,0,"Year","600","Point"
957,2.68191498817506,0.00280241900540758,2.21656285655329,2.21706610607937e-35,"taxa:Year","600","Point"
4,0.0552149582490361,0.013803739562259,10.91801630527,1.14048981962147e-08,"Year:Rep","600","Point"
8,0.050302357405012,0.0062877946756265,4.97330773904034,4.63341507768025e-06,"Year:Rep:Block","600","Point"
1010,1.2769514688444,0.00126430838499445,NA,NA,"Residuals","600","Point"
437,5.33551710233051,0.0122094212867975,8.88320283056392,4.58732109699661e-178,"taxa","650","Point"
3,5.79675352218564,1.93225117406188,1405.84706642465,0,"Year","650","Point"
957,2.95295230764361,0.00308563459523888,2.24501369283995,1.95871712723683e-36,"taxa:Year","650","Point"
4,0.0825529164299294,0.0206382291074824,15.015746522209,6.28235227697442e-12,"Year:Rep","650","Point"
8,0.059545387149765,0.00744317339372063,5.4154261210541,1.0696457522495e-06,"Year:Rep:Block","650","Point"
1010,1.3881834890944,0.00137443909811327,NA,NA,"Residuals","650","Point"
437,6.27101423011213,0.0143501469796616,8.7796665214201,2.95393125807033e-176,"taxa","700","Point"
3,8.43109671871073,2.81036557290358,1719.42995206555,0,"Year","700","Point"
957,3.38527262118085,0.00353737995943663,2.16422984708276,1.90276813886848e-33,"taxa:Year","700","Point"
4,0.128421538164566,0.0321053845411415,19.642625975377,1.39052392701015e-15,"Year:Rep","700","Point"
8,0.0789886877087418,0.00987358596359273,6.04082956458768,1.31742270685858e-07,"Year:Rep:Block","700","Point"
1010,1.65081992739673,0.00163447517564033,NA,NA,"Residuals","700","Point"
437,7.68532370373302,0.0175865530977872,7.8707690139281,9.61987955132571e-160,"taxa","750","Point"
3,14.8630864332744,4.95436214442478,2217.29862772389,0,"Year","750","Point"
957,4.4210475303576,0.0046196943890884,2.06751984025962,6.76205468114951e-30,"taxa:Year","750","Point"
4,0.167168462737245,0.0417921156843111,18.7038407882192,7.6176590986462e-15,"Year:Rep","750","Point"
8,0.113976704483938,0.0142470880604923,6.37620906278314,4.25195501485678e-08,"Year:Rep:Block","750","Point"
1010,2.25675770656371,0.00223441357085516,NA,NA,"Residuals","750","Point"
437,9.88573815298597,0.0226218264370388,7.32432378216391,3.15920468430943e-149,"taxa","800","Point"
3,19.3442551005086,6.44808503350287,2087.71217884396,0,"Year","800","Point"
957,6.0309682173708,0.00630195216026207,2.0403983829481,6.59129027343028e-29,"taxa:Year","800","Point"
4,0.195988093454818,0.0489970233637046,15.8638854593298,1.33545384253595e-12,"Year:Rep","800","Point"
8,0.169636778338669,0.0212045972923337,6.86546405400579,8.10563423091289e-09,"Year:Rep:Block","800","Point"
1010,3.11947496874025,0.00308858907796064,NA,NA,"Residuals","800","Point"
437,12.1842939471882,0.0278816795130164,7.23285485425466,2.02418817772796e-147,"taxa","850","Point"
3,28.086625236482,9.36220841216067,2428.6734423164,0,"Year","850","Point"
957,7.19928931991564,0.00752276835936848,1.951499787525,1.07738470513262e-25,"taxa:Year","850","Point"
4,0.218018079099102,0.0545045197747755,14.1391511314002,3.11984276077045e-11,"Year:Rep","850","Point"
8,0.168590374188074,0.0210737967735092,5.46680529842881,9.0132494206965e-07,"Year:Rep:Block","850","Point"
1010,3.89341371776338,0.00385486506709246,NA,NA,"Residuals","850","Point"
437,12.2398556217278,0.0280088229330154,6.79386417260276,1.48361462184538e-138,"taxa","900","Point"
3,28.0282870235424,9.3427623411808,2266.19513767824,0,"Year","900","Point"
957,7.34687263137593,0.00767698289589961,1.86214105372694,1.61091230025749e-22,"taxa:Year","900","Point"
4,0.221708851020098,0.0554272127550245,13.4445119605406,1.11239412470852e-10,"Year:Rep","900","Point"
8,0.134954621580353,0.0168693276975442,4.0918506762791,8.1924125201806e-05,"Year:Rep:Block","900","Point"
1010,4.16389118823198,0.00412266454280394,NA,NA,"Residuals","900","Point"
437,11.2203364587927,0.0256758271368253,6.52755362771573,5.14763617628126e-133,"taxa","950","Point"
3,19.7997796702032,6.5999265567344,1677.8962682873,0,"Year","950","Point"
957,7.02894923968955,0.00734477454513014,1.86725862700859,1.06429643983611e-22,"taxa:Year","950","Point"
4,0.213938083285335,0.0534845208213336,13.5973449288887,8.40894789937501e-11,"Year:Rep","950","Point"
8,0.0961282380008195,0.0120160297501024,3.05482967181712,0.00210563214361856,"Year:Rep:Block","950","Point"
1010,3.97278779879875,0.00393345326613738,NA,NA,"Residuals","950","Point"
437,10.2712424961835,0.0235039874054543,6.17033946339477,2.21139740163613e-125,"taxa","1000","Point"
3,10.9250509062179,3.64168363540596,956.02605043644,1.86206091159883e-294,"Year","1000","Point"
957,6.93180281520877,0.00724326312978973,1.90152383774348,6.54395470900064e-24,"taxa:Year","1000","Point"
4,0.208289832024977,0.0520724580062443,13.6702227179264,7.35875325335858e-11,"Year:Rep","1000","Point"
8,0.069345367483895,0.00866817093548688,2.27559504164278,0.0205173822608849,"Year:Rep:Block","1000","Point"
1010,3.84728059458307,0.003809188707508,NA,NA,"Residuals","1000","Point"
437,9.77047234884521,0.0223580602948403,5.80373194239627,2.68341274366034e-117,"taxa","1050","Point"
3,6.10166765429629,2.03388921809876,527.959387653109,2.72484580842185e-206,"Year","1050","Point"
957,6.87061985536506,0.00717933109233549,1.86361932279259,1.42921925054993e-22,"taxa:Year","1050","Point"
4,0.200289157530228,0.050072289382557,12.9978245646614,2.52075933294801e-10,"Year:Rep","1050","Point"
8,0.0597891900991374,0.00747364876239217,1.94001865441591,0.0510018506125915,"Year:Rep:Block","1050","Point"
1010,3.89088281848956,0.00385235922622729,NA,NA,"Residuals","1050","Point"
437,9.26998004861745,0.0212127689899713,5.72046033288168,2.00147239314851e-115,"taxa","1100","Point"
3,3.41788333927961,1.13929444642654,307.234227240044,1.06333177854229e-141,"Year","1100","Point"
957,6.38608601390634,0.00667302613783316,1.7995190227077,2.44893863014291e-20,"taxa:Year","1100","Point"
4,0.173141123925514,0.0432852809813785,11.6727680845757,2.85858442216577e-09,"Year:Rep","1100","Point"
8,0.0612586177342782,0.00765732721678478,2.06495609414412,0.0365659742513876,"Year:Rep:Block","1100","Point"
1010,3.74530989345716,0.00370822761728432,NA,NA,"Residuals","1100","Point"
437,8.67352275148728,0.0198478781498565,5.87695978329227,6.21107884411154e-119,"taxa","1150","Point"
3,3.08554929756806,1.02851643252269,304.54387440074,8.78924381441546e-141,"Year","1150","Point"
957,5.87000769705236,0.00613375934906203,1.81620708987934,6.47863068798229e-21,"taxa:Year","1150","Point"
4,0.161147664160674,0.0402869160401684,11.928962056967,1.78724757622549e-09,"Year:Rep","1150","Point"
8,0.0720127219088152,0.0090015902386019,2.66537225886396,0.00672548581857462,"Year:Rep:Block","1150","Point"
1010,3.41100801614216,0.0033772356595467,NA,NA,"Residuals","1150","Point"
437,8.10533244232618,0.0185476714927372,5.82786533420926,7.73597511168061e-118,"taxa","1200","Point"
3,2.87544184999971,0.958480616666571,301.164270758726,1.26384230387346e-139,"Year","1200","Point"
957,5.28543222787115,0.0055229176884756,1.73535640594894,3.79271664976721e-18,"taxa:Year","1200","Point"
4,0.128879407499067,0.0322198518747668,10.1238022189382,4.89036629946908e-08,"Year:Rep","1200","Point"
8,0.0775081730382969,0.00968852162978711,3.04423115149966,0.00217435917416369,"Year:Rep:Block","1200","Point"
1010,3.21440993114615,0.00318258409024371,NA,NA,"Residuals","1200","Point"
437,7.64397026928783,0.0174919228130156,5.65032013578254,2.36068724361508e-112,"taxa","1250","Point"
3,3.45358854067978,1.15119618022659,371.864604417887,1.50634864147127e-161,"Year","1250","Point"
953,4.9380339759365,0.00518156765575709,1.67377345379426,6.95168907152784e-16,"taxa:Year","1250","Point"
4,0.133736305918636,0.0334340764796591,10.800026822308,1.42907527108794e-08,"Year:Rep","1250","Point"
8,0.0829502756645529,0.0103687844580691,3.3493717204962,0.000856036627324191,"Year:Rep:Block","1250","Point"
987,3.05549551203534,0.0030957401337744,NA,NA,"Residuals","1250","Point"
437,6.85347775512086,0.0156830154579425,5.95307483364081,5.00086739751064e-119,"taxa","1300","Point"
3,2.18400706797813,0.72800235599271,276.340510912179,3.53978723101601e-130,"Year","1300","Point"
953,4.40453177883563,0.00462175422752951,1.75435960341702,1.55236801172509e-18,"taxa:Year","1300","Point"
4,0.132959551744812,0.033239887936203,12.6174421543299,5.1250318848517e-10,"Year:Rep","1300","Point"
8,0.0673242971836128,0.0084155371479516,3.19443174314212,0.00137898648332914,"Year:Rep:Block","1300","Point"
987,2.60019178148352,0.00263443949491745,NA,NA,"Residuals","1300","Point"
437,6.08833156643356,0.013932108847674,5.76828362648297,5.6405297981486e-115,"taxa","1350","Point"
3,2.1619536981917,0.720651232730566,298.369812611569,7.88492802346219e-138,"Year","1350","Point"
953,4.03886027151924,0.00423804855353541,1.7546709078202,1.51559789558173e-18,"taxa:Year","1350","Point"
4,0.123148123510702,0.0307870308776754,12.7466938466655,4.04538919618186e-10,"Year:Rep","1350","Point"
8,0.0448350472750011,0.00560438090937514,2.3203708059975,0.0181182263557476,"Year:Rep:Block","1350","Point"
987,2.38389654931696,0.00241529538937889,NA,NA,"Residuals","1350","Point"
437,5.77144403059798,0.0132069657450755,5.56024160940273,3.31896256266459e-110,"taxa","1400","Point"
3,2.91038367508845,0.97012789169615,408.431851340449,2.49335014141595e-172,"Year","1400","Point"
953,3.91134869036935,0.00410424836345157,1.72792244382823,1.22832879616543e-17,"taxa:Year","1400","Point"
4,0.126144755352501,0.0315361888381252,13.2769958493387,1.53505607549281e-10,"Year:Rep","1400","Point"
8,0.0411445840434373,0.00514307300542966,2.16527619416662,0.0278608658825895,"Year:Rep:Block","1400","Point"
985,2.3396215799149,0.00237525033493898,NA,NA,"Residuals","1400","Point"
437,5.55807408967941,0.012718705010708,5.62826079826399,5.99962781046346e-111,"taxa","1450","Point"
3,3.8230398812714,1.27434662709047,563.921811113216,2.70226274142418e-212,"Year","1450","Point"
949,3.7822627945553,0.00398552454642286,1.76366788491952,1.12334532662586e-18,"taxa:Year","1450","Point"
4,0.155580264986079,0.0388950662465198,17.2117818926427,1.19047189171469e-13,"Year:Rep","1450","Point"
8,0.0445836025187396,0.00557295031484244,2.46613297197264,0.0119959089224605,"Year:Rep:Block","1450","Point"
973,2.19877870251428,0.00225979311666422,NA,NA,"Residuals","1450","Point"
433,5.08897897379119,0.011752838276654,5.39309296402181,4.29294242599931e-102,"taxa","1500","Point"
2,4.19639714856526,2.09819857428263,962.812531042995,1.67641213568756e-226,"Year","1500","Point"
740,2.95911757249344,0.00399880753039654,1.8349559696995,1.31172946096843e-18,"taxa:Year","1500","Point"
3,0.148860646790122,0.0496202155967075,22.7695156955767,3.1692978135822e-14,"Year:Rep","1500","Point"
6,0.0417900781818209,0.00696501303030349,3.19607586557755,0.0041286066759617,"Year:Rep:Block","1500","Point"
922,2.00925831677008,0.00217923895528208,NA,NA,"Residuals","1500","Point"
433,4.81002849147708,0.01110861083482,5.42912481032724,7.10222511334715e-103,"taxa","1550","Point"
2,4.00347877018373,2.00173938509186,978.312510988912,1.13926642979028e-228,"Year","1550","Point"
740,2.7177282678821,0.00367260576740824,1.79491705910589,2.03680429717463e-17,"taxa:Year","1550","Point"
3,0.154679642954111,0.0515598809847036,25.1989230007182,1.1291192400614e-15,"Year:Rep","1550","Point"
6,0.0437565325852902,0.00729275543088171,3.5641971830846,0.00169815275862476,"Year:Rep:Block","1550","Point"
922,1.88651754150532,0.0020461144701793,NA,NA,"Residuals","1550","Point"
433,4.63383627243388,0.0107017003982307,5.30156747126089,4.25695620399528e-100,"taxa","1600","Point"
2,3.57595312245218,1.78797656122609,885.754415059158,2.31297283557347e-215,"Year","1600","Point"
740,2.54226470785963,0.00343549284845896,1.70192553102596,1.02012106098327e-14,"taxa:Year","1600","Point"
3,0.151374617842802,0.0504582059476008,24.9967363461428,1.48914148231549e-15,"Year:Rep","1600","Point"
6,0.0455028123491745,0.00758380205819575,3.75697663026143,0.00105983985892628,"Year:Rep:Block","1600","Point"
922,1.86114160022601,0.00201859175729502,NA,NA,"Residuals","1600","Point"
433,4.61524534368387,0.0106587652279073,5.05493016789269,1.23721411242074e-94,"taxa","1650","Point"
2,3.16735714000432,1.58367857000216,751.061160329243,2.89278441768342e-194,"Year","1650","Point"
740,2.52081215163382,0.00340650290761327,1.61553744233179,2.5988787715396e-12,"taxa:Year","1650","Point"
3,0.147116140730912,0.0490387135769705,23.2566594117155,1.62133875090853e-14,"Year:Rep","1650","Point"
6,0.0469871784894892,0.00783119641491486,3.71395280428916,0.00117781448930964,"Year:Rep:Block","1650","Point"
922,1.94411816063275,0.00210858802671665,NA,NA,"Residuals","1650","Point"
433,0.152407020844858,0.000351979262921149,4.22108981313091,1.29148458071765e-65,"taxa","1","Slope"
2,0.0144095310030667,0.00720476550153337,86.4027102395872,2.25552153585316e-34,"Year","1","Slope"
570,0.102427812286902,0.00017969791629281,2.1550162859292,1.23094915331815e-22,"taxa:Year","1","Slope"
3,0.00386118264819921,0.00128706088273307,15.434999027772,9.652948063336e-10,"Year:Rep","1","Slope"
6,0.00145377880087735,0.000242296466812892,2.90572557977834,0.00832403027571029,"Year:Rep:Block","1","Slope"
723,0.0602879868370378,8.33858739101492e-05,NA,NA,"Residuals","1","Slope"
433,0.157047244821108,0.000362695715522189,3.07173126516984,6.39329935430478e-41,"taxa","2","Slope"
2,0.11836794678084,0.0591839733904202,501.239065365281,2.72724996394766e-137,"Year","2","Slope"
570,0.112913310308905,0.000198093526857729,1.6776875320972,2.63820530073125e-11,"taxa:Year","2","Slope"
3,0.00906885282610203,0.00302295094203401,25.6018820303722,9.51276800537741e-16,"Year:Rep","2","Slope"
6,0.00236985468635233,0.000394975781058722,3.34511659151025,0.00294273962544552,"Year:Rep:Block","2","Slope"
723,0.0853684712904216,0.000118075340650652,NA,NA,"Residuals","2","Slope"
433,0.480981988037565,0.00111081290539853,6.72785272138716,7.03315055859975e-111,"taxa","3","Slope"
2,1.42492724085879,0.712463620429393,4315.17340525991,0,"Year","3","Slope"
570,0.338724165351717,0.000594252921669678,3.59920749643543,3.61792083003417e-58,"taxa:Year","3","Slope"
3,0.00657327649657612,0.00219109216552537,13.2707725279363,1.93087021040969e-08,"Year:Rep","3","Slope"
6,0.00950334796772659,0.00158389132795443,9.59314348021241,3.61506921619427e-10,"Year:Rep:Block","3","Slope"
723,0.11937207365585,0.000165106602566874,NA,NA,"Residuals","3","Slope"
437,0.933572924519786,0.00213632248173864,6.10069223654996,7.2545967861748e-124,"taxa","4","Slope"
3,2.44388224273968,0.814627414246561,2326.33002941116,0,"Year","4","Slope"
957,0.716474161625985,0.000748666835554843,2.13796652447092,1.76567689003516e-32,"taxa:Year","4","Slope"
4,0.0343042811791677,0.00857607029479192,24.4906683868081,2.27273815251658e-19,"Year:Rep","4","Slope"
8,0.0254554319448071,0.00318192899310089,9.0866288546781,4.08474405569736e-12,"Year:Rep:Block","4","Slope"
1010,0.353678832318254,0.000350177061701241,NA,NA,"Residuals","4","Slope"
437,1.0119686097328,0.00231571764240915,5.73537587395768,9.22384724648862e-116,"taxa","5","Slope"
3,5.28938184352568,1.76312728117523,4366.76626112706,0,"Year","5","Slope"
957,0.800489113378425,0.000836456753791458,2.07166616406373,4.77085994498649e-30,"taxa:Year","5","Slope"
4,0.036492107704109,0.00912302692602726,22.5951504495893,6.78087975565051e-18,"Year:Rep","5","Slope"
8,0.0215795648347881,0.00269744560434851,6.68080777948323,1.51660192938878e-08,"Year:Rep:Block","5","Slope"
1010,0.407798001427117,0.000403760397452591,NA,NA,"Residuals","5","Slope"
437,0.465402328712985,0.00106499388721507,4.7230724424048,6.75343769347182e-92,"taxa","6","Slope"
3,1.73532091949555,0.578440306498518,2565.28746690132,0,"Year","6","Slope"
957,0.474725666984117,0.000496056078353309,2.19992698707835,9.14483870241672e-35,"taxa:Year","6","Slope"
4,0.0178063337380874,0.00445158343452184,19.742039176991,1.16159847137845e-15,"Year:Rep","6","Slope"
8,0.00899223616941982,0.00112402952117748,4.98488575348105,4.4597217256216e-06,"Year:Rep:Block","6","Slope"
1010,0.227742394215649,0.000225487519025395,NA,NA,"Residuals","6","Slope"
437,0.379506297213516,0.000868435462731158,3.91176884672069,3.19077167709692e-71,"taxa","7","Slope"
3,1.5285695390474,0.509523179682466,2295.08925705968,0,"Year","7","Slope"
957,0.380331212348661,0.000397420284585852,1.79013450626333,5.15672962973944e-20,"taxa:Year","7","Slope"
4,0.0197576583994442,0.00493941459986105,22.2490317150432,1.26296238847637e-17,"Year:Rep","7","Slope"
8,0.00321828278130142,0.000402285347662678,1.81204862999269,0.0710853223493137,"Year:Rep:Block","7","Slope"
1010,0.22422588136663,0.000222005823135277,NA,NA,"Residuals","7","Slope"
437,0.725614614581076,0.00166044534229079,2.40209453001874,5.37812489157487e-30,"taxa","8","Slope"
3,1.99718419342336,0.665728064474454,963.080025234576,1.19366084645193e-295,"Year","8","Slope"
957,0.965720313191939,0.0010091121349968,1.45983892267551,1.59342336899955e-09,"taxa:Year","8","Slope"
4,0.0219065223211119,0.00547663058027799,7.92280481913944,2.74141220276156e-06,"Year:Rep","8","Slope"
8,0.0129101889697736,0.00161377362122171,2.33457656780028,0.0173929847825364,"Year:Rep:Block","8","Slope"
1010,0.698161448167743,0.000691248958581924,NA,NA,"Residuals","8","Slope"
437,1.06028001589937,0.0024262700592663,3.05991405464986,3.45999808160533e-48,"taxa","9","Slope"
3,5.70739515696705,1.90246505232235,2399.31228176707,0,"Year","9","Slope"
957,1.51993683247016,0.00158823075493225,2.00301264506143,1.49967039985699e-27,"taxa:Year","9","Slope"
4,0.0174205408162337,0.00435513520405842,5.49252106949241,0.000224122627120539,"Year:Rep","9","Slope"
8,0.0364102195443275,0.00455127744304094,5.73988775956095,3.6184518026708e-07,"Year:Rep:Block","9","Slope"
1010,0.800850192552017,0.000792920982724769,NA,NA,"Residuals","9","Slope"
437,1.14205830048167,0.00261340572192602,3.00749811931629,9.72187175430249e-47,"taxa","10","Slope"
3,2.37446947349659,0.791489824498863,910.843708141883,1.17499946670219e-286,"Year","10","Slope"
957,1.54403697448215,0.00161341376643903,1.8567108916668,2.49926168328068e-22,"taxa:Year","10","Slope"
4,0.0122293171569746,0.00305732928924366,3.51836380030364,0.00732665167201628,"Year:Rep","10","Slope"
8,0.0371288475452557,0.00464110594315696,5.34096840704298,1.37047216330841e-06,"Year:Rep:Block","10","Slope"
1010,0.87765301071754,0.000868963376948059,NA,NA,"Residuals","10","Slope"
437,1.49239618500937,0.00341509424487271,3.75035582172126,5.97188870640143e-67,"taxa","11","Slope"
3,8.91336175030619,2.9711205834354,3262.79703520689,0,"Year","11","Slope"
957,1.33600623706442,0.00139603577540692,1.53308533300042,1.16334020067709e-11,"taxa:Year","11","Slope"
4,0.00305893891019594,0.000764734727548984,0.839809133186208,0.499955128829811,"Year:Rep","11","Slope"
8,0.0106689429040127,0.00133361786300159,1.46453982169558,0.16589752611056,"Year:Rep:Block","11","Slope"
1010,0.919711449069484,0.000910605395118301,NA,NA,"Residuals","11","Slope"
437,0.477884231464904,0.0010935565937412,3.43984721895106,1.33875587284667e-58,"taxa","12","Slope"
3,1.34578549742699,0.448595165808997,1411.08273899554,0,"Year","12","Slope"
957,0.596351386950496,0.000623146694828105,1.9601449412597,5.27253552285968e-26,"taxa:Year","12","Slope"
4,0.000120413375316975,3.01033438292438e-05,0.0946918560455026,0.984154267088244,"Year:Rep","12","Slope"
8,0.0136515065084008,0.0017064383135501,5.36770307158516,1.25384111711345e-06,"Year:Rep:Block","12","Slope"
1010,0.321087562724781,0.000317908477945328,NA,NA,"Residuals","12","Slope"
437,0.855813418670469,0.00195838310908574,3.36454330857933,1.49802450635676e-56,"taxa","13","Slope"
3,3.23433163895239,1.07811054631746,1852.21655951405,0,"Year","13","Slope"
957,1.07603811919804,0.00112438674942324,1.93172004827662,5.50140802959207e-25,"taxa:Year","13","Slope"
4,0.00144263368423814,0.000360658421059534,0.619618741414254,0.648599593119319,"Year:Rep","13","Slope"
8,0.0224823881436478,0.00281029851795598,4.82815187173125,7.47373444562014e-06,"Year:Rep:Block","13","Slope"
1010,0.587885712492669,0.000582065061873929,NA,NA,"Residuals","13","Slope"
437,1.1782472576342,0.00269621798085629,3.46547215779431,2.70070452914524e-59,"taxa","14","Slope"
3,6.2279972825566,2.07599909418553,2668.29948898321,0,"Year","14","Slope"
957,1.1278061315493,0.00117848080621661,1.51471151495756,4.11556755100955e-11,"taxa:Year","14","Slope"
4,0.0030815769887188,0.0007703942471797,0.990194351154895,0.411864463525064,"Year:Rep","14","Slope"
8,0.020158277534295,0.00251978469178688,3.23870093405818,0.00120125363167934,"Year:Rep:Block","14","Slope"
1010,0.785803502861814,0.000778023270160211,NA,NA,"Residuals","14","Slope"
437,0.896639575963357,0.0020518068099848,3.47610693987559,1.39075021042874e-59,"taxa","15","Slope"
3,4.33797967095394,1.44599322365131,2449.75650499213,0,"Year","15","Slope"
957,0.755649183244991,0.000789602072356312,1.3377191410522,2.580304229026e-06,"taxa:Year","15","Slope"
4,0.00109433267714057,0.000273583169285143,0.463496050776968,0.76256780039897,"Year:Rep","15","Slope"
8,0.00829445961636717,0.0010368074520459,1.75652676549902,0.0818507814738794,"Year:Rep:Block","15","Slope"
1010,0.596162578979465,0.000590259979187589,NA,NA,"Residuals","15","Slope"
437,0.815886583344029,0.00186701735319,2.34382553067754,2.09845469829102e-28,"taxa","16","Slope"
3,1.74221973400393,0.580739911334644,729.052158269377,3.96924004287697e-252,"Year","16","Slope"
957,1.97140477358309,0.00205998408942852,2.58607307175935,4.13362952996663e-49,"taxa:Year","16","Slope"
4,0.134994887851215,0.0337487219628037,42.3676384308932,7.02990971637616e-33,"Year:Rep","16","Slope"
8,0.00772365731062776,0.00096545716382847,1.21202041614147,0.288317357200181,"Year:Rep:Block","16","Slope"
1010,0.8045340841461,0.000796568400144653,NA,NA,"Residuals","16","Slope"
437,0.774721224963582,0.00177281744842925,1.46544875597509,6.5817745780894e-07,"taxa","17","Slope"
3,0.563612347964184,0.187870782654728,155.298000349315,9.21298877589522e-83,"Year","17","Slope"
957,1.48548719961273,0.00155223322843545,1.28310912982573,4.68429209960292e-05,"taxa:Year","17","Slope"
4,0.0388228447477679,0.00970571118694197,8.0229481029531,2.28360096251936e-06,"Year:Rep","17","Slope"
8,0.0126746992533053,0.00158433740666317,1.30964712903546,0.234587485152948,"Year:Rep:Block","17","Slope"
1010,1.22184117023058,0.00120974373290156,NA,NA,"Residuals","17","Slope"
437,0.816931319786549,0.00186940805443146,1.49389888221851,1.83583888449771e-07,"taxa","18","Slope"
3,0.100314006181797,0.033438002060599,26.7212895459259,1.23571618614365e-16,"Year","18","Slope"
957,1.47431903872602,0.00154056325885686,1.23110934765557,0.000559280523679202,"taxa:Year","18","Slope"
4,0.0584496673983717,0.0146124168495929,11.6772114821966,2.83539332059111e-09,"Year:Rep","18","Slope"
8,0.00418812434966247,0.000523515543707808,0.418356647022665,0.910423791992418,"Year:Rep:Block","18","Slope"
1010,1.26387545867352,0.00125136184027081,NA,NA,"Residuals","18","Slope"
437,1.10745100518847,0.00253421282651823,1.28979059703334,0.000713057256025413,"taxa","19","Slope"
3,2.1542581458087,0.718086048602901,365.470738549347,1.38157062823534e-159,"Year","19","Slope"
953,1.94830286254701,0.00204438915272508,1.04049426246671,0.26817807758683,"taxa:Year","19","Slope"
