"Df","Sum Sq","Mean Sq","F value","Pr(>F)","factor","GDD","Year"
391,0.375947881974323,0.000961503534461185,1.57001444333569,2.76455503847611e-05,"taxa","17",2018
1,3.99429016362278e-05,3.99429016362278e-05,0.0652217389016224,0.798608315790248,"Rep","17",2018
2,0.000727470251853099,0.00036373512592655,0.593933751448174,0.552828189987428,"Rep:Block","17",2018
287,0.175763678838563,0.000612416999437502,NA,NA,"Residuals","17",2018
391,0.224894152687422,0.000575176861093151,1.79955318328595,8.87571066361597e-08,"taxa","18",2018
1,4.00612584212253e-06,4.00612584212253e-06,0.012533947381218,0.910937256916815,"Rep","18",2018
2,0.00041107811339582,0.00020553905669791,0.643069095421092,0.526432328105896,"Rep:Block","18",2018
287,0.0917315257292419,0.000319622040868438,NA,NA,"Residuals","18",2018
391,0.120591451988216,0.000308418035775488,1.605921405232,1.16658402902618e-05,"taxa","19",2018
1,2.36771672631087e-06,2.36771672631087e-06,0.0123286141899833,0.911666761372269,"Rep","19",2018
2,0.000225575391411177,0.000112787695705588,0.587281396579056,0.556502884420894,"Rep:Block","19",2018
287,0.0551184983145408,0.000192050516775404,NA,NA,"Residuals","19",2018
391,0.502192329501684,0.00128437935933935,1.07841386670947,0.248501955180597,"taxa","20",2018
1,3.03945232136226e-05,3.03945232136226e-05,0.0255204002363084,0.873189549795485,"Rep","20",2018
2,0.00156225940999227,0.000781129704996133,0.655866274587134,0.519768370201842,"Rep:Block","20",2018
287,0.341813924606832,0.00119098928434436,NA,NA,"Residuals","20",2018
391,1.07714650987482,0.002754850408887,1.07919936080987,0.246418901456781,"taxa","21",2018
1,4.66605334425468e-05,4.66605334425468e-05,0.0182790389285016,0.892548522217017,"Rep","21",2018
2,0.00399695111104734,0.00199847555552367,0.782893160063329,0.458055336433181,"Rep:Block","21",2018
287,0.732619102699655,0.00255267980034723,NA,NA,"Residuals","21",2018
391,0.122934963616596,0.000314411671653698,1.45203000345608,0.000425084600883295,"taxa","22",2018
1,0.00164842456360768,0.00164842456360768,7.61282783238619,0.00617062839451375,"Rep","22",2018
2,7.10964141745567e-05,3.55482070872783e-05,0.1641703152695,0.848677672872698,"Rep:Block","22",2018
285,0.0617117595421742,0.000216532489621664,NA,NA,"Residuals","22",2018
391,0.575415955819322,0.00147165206091898,1.51837857496545,9.59683511371403e-05,"taxa","23",2018
1,0.0101127682761989,0.0101127682761989,10.4338593964813,0.00138212401005233,"Rep","23",2018
2,0.00271863019050059,0.0013593150952503,1.40247479147097,0.247679869737259,"Rep:Block","23",2018
285,0.27622942280482,0.000969226044929191,NA,NA,"Residuals","23",2018
390,0.292107570524959,0.000748993770576818,1.4800179888682,0.000244668093326941,"taxa","24",2018
1,0.00509364571230489,0.00509364571230489,10.0650867594358,0.00167859494338438,"Rep","24",2018
2,0.0016082747101196,0.000804137355059798,1.58898217550306,0.205961901895635,"Rep:Block","24",2018
281,0.14220587257391,0.000506070720903596,NA,NA,"Residuals","24",2018
390,0.0781321804390655,0.000200338924202732,1.33198089839619,0.00525659329114387,"taxa","25",2018
1,7.39756946350785e-05,7.39756946350785e-05,0.491837582694626,0.483689122112846,"Rep","25",2018
2,0.000223178665986111,0.000111589332993055,0.741917031865014,0.47713059750989,"Rep:Block","25",2018
281,0.0422642980606943,0.000150406754664392,NA,NA,"Residuals","25",2018
390,0.31166429655299,0.000799139221930743,1.35732436599131,0.00321397324272843,"taxa","26",2018
1,0.000290833606326882,0.000290833606326882,0.493975929954808,0.482740922556468,"Rep","26",2018
2,0.000171054468865633,8.55272344328164e-05,0.145266551891972,0.86485665183165,"Rep:Block","26",2018
281,0.165441752162561,0.00058876068385253,NA,NA,"Residuals","26",2018
390,0.234441786259869,0.000601132785281716,1.34648959288377,0.00397376352151594,"taxa","27",2018
1,0.000322433775947745,0.000322433775947745,0.722225994551925,0.396138196151903,"Rep","27",2018
2,0.000112379697560929,5.61898487804643e-05,0.125860788932268,0.881787264190813,"Rep:Block","27",2018
281,0.125450886183524,0.000446444434816813,NA,NA,"Residuals","27",2018
402,0.073724125661442,0.000183393347416522,2.43017711328316,8.60211070115413e-17,"taxa","1",2019
1,0.0034094515633227,0.0034094515633227,45.1792350963318,7.75327742745276e-11,"Rep","1",2019
2,0.00070419801766853,0.000352099008834265,4.66572514724505,0.0100325031346096,"Rep:Block","1",2019
335,0.0252807793509067,7.54650129877811e-05,NA,NA,"Residuals","1",2019
402,0.187686344919725,0.00046688145502419,2.42158483839914,1.11880349961286e-16,"taxa","2",2019
1,0.00866290670056109,0.00866290670056109,44.9320984948055,8.66544093018828e-11,"Rep","2",2019
2,0.00178235824898117,0.000891179124490587,4.6222993715876,0.0104655027238781,"Rep:Block","2",2019
335,0.064587985914423,0.000192799957953502,NA,NA,"Residuals","2",2019
402,0.0410973514078558,0.000102232217432477,2.78217203333032,1.9976918658131e-21,"taxa","3",2019
1,0.000624709254438523,0.000624709254438523,17.0009871673717,4.7159035719078e-05,"Rep","3",2019
2,0.00116402504348424,0.000582012521742122,15.8390280647926,2.67473658846062e-07,"Rep:Block","3",2019
335,0.0123097322629918,3.67454694417666e-05,NA,NA,"Residuals","3",2019
402,0.131008428183483,0.000325891612396724,2.40131217420905,2.08058935849914e-16,"taxa","4",2019
1,0.000102621323943187,0.000102621323943187,0.75615887351602,0.385155882324911,"Rep","4",2019
2,0.0036941704907671,0.00184708524538355,13.6101333014425,2.07524913900873e-06,"Rep:Block","4",2019
335,0.0454641805115831,0.000135713971676368,NA,NA,"Residuals","4",2019
402,0.151458523826836,0.000376762497081682,1.52151102197423,3.6485185847877e-05,"taxa","5",2019
1,0.000853357505003034,0.000853357505003034,3.44618389463815,0.0642757843008884,"Rep","5",2019
2,0.000186219910287129,9.31099551435643e-05,0.376013600355095,0.686882398607957,"Rep:Block","5",2019
335,0.0829540073647269,0.000247623902581274,NA,NA,"Residuals","5",2019
402,0.0797281836027972,0.000198328814932331,1.23113049586161,0.0241338541136085,"taxa","6",2019
1,7.44909003843125e-05,7.44909003843125e-05,0.462403908169406,0.496972278697546,"Rep","6",2019
2,0.00103983767488594,0.000519918837442971,3.22740765817289,0.0408965995172586,"Rep:Block","6",2019
335,0.0539667835584175,0.000161094876293784,NA,NA,"Residuals","6",2019
402,0.326199862519521,0.00081144244407841,3.04989107777622,7.23217805808833e-25,"taxa","7",2019
1,0.0098838727326124,0.0098838727326124,37.1495667758752,3.00858304361846e-09,"Rep","7",2019
2,0.0029084163966312,0.0014542081983156,5.46579322000958,0.00461470107528238,"Rep:Block","7",2019
335,0.089128828484088,0.000266056204430113,NA,NA,"Residuals","7",2019
402,0.401160136055338,0.00099791078620731,2.60944673991925,3.64936200936511e-19,"taxa","8",2019
1,0.00962989053299466,0.00962989053299466,25.1812955671188,8.48801822077558e-07,"Rep","8",2019
2,0.00606384985277859,0.00303192492638929,7.92821034124273,0.000432340478018218,"Rep:Block","8",2019
335,0.128111491323174,0.000382422362158727,NA,NA,"Residuals","8",2019
402,0.122820392491682,0.00030552336440717,2.99989327091977,3.1281501375805e-24,"taxa","9",2019
1,0.000108084318118633,0.000108084318118633,1.06126554100106,0.303669911677239,"Rep","9",2019
2,0.00162201014937598,0.000811005074687991,7.96315093923858,0.000418156277524162,"Rep:Block","9",2019
335,0.034117989486013,0.000101844744734367,NA,NA,"Residuals","9",2019
402,0.808492993186968,0.00201117659996758,2.36337737740626,6.64810727446089e-16,"taxa","10",2019
1,0.000128208341260549,0.000128208341260549,0.150660411092117,0.698151580450954,"Rep","10",2019
2,0.00756700060354632,0.00378350030177316,4.44607351774308,0.0124244412214308,"Rep:Block","10",2019
335,0.285076842754819,0.000850975650014384,NA,NA,"Residuals","10",2019
402,0.0303483489019896,7.54934052288299e-05,1.78013496553901,2.95210987160325e-08,"taxa","11",2019
1,3.39957549046676e-06,3.39957549046676e-06,0.0801620112409266,0.777252853569118,"Rep","11",2019
2,0.00026507369915292,0.00013253684957646,3.12521973857579,0.0452106693770955,"Rep:Block","11",2019
335,0.0142069512937186,4.24088098319957e-05,NA,NA,"Residuals","11",2019
402,0.36707196596232,0.000913114343189851,1.74089763925276,9.12624620174717e-08,"taxa","12",2019
1,8.53338546606878e-06,8.53338546606878e-06,0.016269321277789,0.898580643016347,"Rep","12",2019
2,0.0053347202433976,0.0026673601216988,5.08545394510019,0.00667235608563024,"Rep:Block","12",2019
335,0.175710103840394,0.000524507772657893,NA,NA,"Residuals","12",2019
402,0.685345889663948,0.00170484052155211,1.80281220051926,1.52865570710552e-08,"taxa","13",2019
1,7.54071469783732e-07,7.54071469783732e-07,0.000797405521867783,0.977488849386961,"Rep","13",2019
2,0.00902654627568463,0.00451327313784232,4.77263636939502,0.00904171176057054,"Rep:Block","13",2019
335,0.316794824527734,0.0009456561926201,NA,NA,"Residuals","13",2019
402,0.685866905454116,0.00170613658073163,1.92128737726652,4.63768360145596e-10,"taxa","14",2019
1,2.59983939447409e-05,2.59983939447409e-05,0.0292768976876477,0.864244559527665,"Rep","14",2019
2,0.00729162932711242,0.00364581466355621,4.10556679462319,0.0173171369100536,"Rep:Block","14",2019
335,0.297485821906699,0.000888017378825966,NA,NA,"Residuals","14",2019
402,0.394090408547228,0.000980324399371215,2.16911798036265,2.55208973642844e-13,"taxa","15",2019
1,0.000224415644985885,0.000224415644985885,0.496554008984975,0.481507783063466,"Rep","15",2019
2,0.00201520154270322,0.00100760077135161,2.22947113380827,0.109179271386867,"Rep:Block","15",2019
335,0.151401941601374,0.00045194609433246,NA,NA,"Residuals","15",2019
402,0.154549241371768,0.000384450849183503,1.54106826225755,2.1989341819093e-05,"taxa","16",2019
1,0.000828090839856598,0.000828090839856598,3.31939574143087,0.0693585466616235,"Rep","16",2019
2,0.00112733047981381,0.000563665239906907,2.25944776452739,0.105997017867001,"Rep:Block","16",2019
335,0.0835725695160345,0.000249470356764282,NA,NA,"Residuals","16",2019
402,0.494201588745714,0.00122935718593461,1.1915017902447,0.0479577715660105,"taxa","17",2019
1,0.00335831396924253,0.00335831396924253,3.25490195391358,0.0721082957032983,"Rep","17",2019
2,0.00727090987688567,0.00363545493844283,3.52350896636722,0.0305937180616121,"Rep:Block","17",2019
335,0.345643339070028,0.00103177116140307,NA,NA,"Residuals","17",2019
402,1.53768981731417,0.0038250990480452,1.37176084835418,0.00136918675522954,"taxa","18",2019
1,0.0573591114850186,0.0573591114850186,20.5701819595343,8.01731867071978e-06,"Rep","18",2019
2,0.00166486529632183,0.000832432648160913,0.298527829291765,0.742106794337804,"Rep:Block","18",2019
335,0.934133805198304,0.00278845911999494,NA,NA,"Residuals","18",2019
398,0.282630805193623,0.000710127651240259,1.05377590564681,0.313975981140112,"taxa","19",2019
1,0.00431156977456994,0.00431156977456994,6.39804454314886,0.0119168208977536,"Rep","19",2019
2,0.00161415530725204,0.00080707765362602,1.19764240118192,0.30328918312079,"Rep:Block","19",2019
312,0.210253267321544,0.00067388867731264,NA,NA,"Residuals","19",2019
398,0.231103177983898,0.000580661251215823,1.71459103125103,3.68220448670868e-07,"taxa","20",2019
1,0.00396171504436962,0.00396171504436962,11.698251035738,0.000708833375205312,"Rep","20",2019
2,0.00467850099490381,0.00233925049745191,6.90739723786008,0.00116057111545762,"Rep:Block","20",2019
312,0.105661529237763,0.000338658747556932,NA,NA,"Residuals","20",2019
398,0.454737726658725,0.0011425571021576,1.48443958631253,0.000132850467168444,"taxa","21",2019
1,0.00892750436461754,0.00892750436461754,11.5988433845368,0.000746292909126446,"Rep","21",2019
2,0.0149327196859724,0.00746635984298618,9.70048682525637,8.18327189957156e-05,"Rep:Block","21",2019
312,0.240143027146488,0.000769689189572077,NA,NA,"Residuals","21",2019
398,0.233594674149913,0.000586921291833951,1.39709243967673,0.000992041996256604,"taxa","22",2019
1,0.00426418640755252,0.00426418640755252,10.1503603196072,0.00158870372163591,"Rep","22",2019
2,0.00841861704041799,0.004209308520209,10.0197303994121,6.0607096244876e-05,"Rep:Block","22",2019
312,0.131071815902578,0.000420101974046725,NA,NA,"Residuals","22",2019
396,0.0116806659923279,2.94966312937574e-05,1.17746831174538,0.0658483484658136,"taxa","23",2019
1,5.81023726742996e-06,5.81023726742996e-06,0.231937342199777,0.630434135964341,"Rep","23",2019
2,9.3414813995419e-06,4.67074069977095e-06,0.186450076674473,0.829993896607467,"Rep:Block","23",2019
307,0.00769062378737008,2.50508918155377e-05,NA,NA,"Residuals","23",2019
396,0.16751331292402,0.000423013416474798,1.27436326191014,0.0127356432948328,"taxa","24",2019
1,2.11463827634173e-05,2.11463827634173e-05,0.0637052449554974,0.800901589237589,"Rep","24",2019
2,0.000731034118417315,0.000365517059208657,1.1011506815522,0.333797802554364,"Rep:Block","24",2019
307,0.101905887229602,0.00033194100074789,NA,NA,"Residuals","24",2019
396,0.303073745761887,0.000765337741822946,1.29935754436672,0.00793102204250516,"taxa","25",2019
1,9.49383766761973e-05,9.49383766761973e-05,0.161182298014364,0.688349645899012,"Rep","25",2019
2,0.00131714629220932,0.000658573146104659,1.11809719963657,0.328228671316193,"Rep:Block","25",2019
307,0.18082681534293,0.000589012427827134,NA,NA,"Residuals","25",2019
396,0.234961059886034,0.000593336009813218,1.30824513803527,0.00667210839329927,"taxa","26",2019
1,9.40127423878832e-05,9.40127423878832e-05,0.207288469110493,0.649222849366447,"Rep","26",2019
2,0.00101801087290324,0.00050900543645162,1.12230486007579,0.326860461824033,"Rep:Block","26",2019
307,0.139235491664978,0.000453535803468984,NA,NA,"Residuals","26",2019
396,0.0445348539380686,0.00011246175236886,1.3125169213584,0.00613528359680503,"taxa","27",2019
1,1.98530152345208e-05,1.98530152345208e-05,0.231700270415756,0.630608870291533,"Rep","27",2019
2,0.000192612515610174,9.6306257805087e-05,1.12396961935373,0.326320716472866,"Rep:Block","27",2019
307,0.0263050002749735,8.56840399836269e-05,NA,NA,"Residuals","27",2019
212,0.0640654412166961,0.000302195477437246,2.88954440764745,2.21713172414081e-05,"taxa","1",2020
1,0.000181522585966526,0.000181522585966526,1.73568968533025,0.194072428314089,"Rep","1",2020
2,0.000417581759572806,0.000208790879786403,1.99642471214638,0.147174161010239,"Rep:Block","1",2020
47,0.00491537261097649,0.000104582395978223,NA,NA,"Residuals","1",2020
212,0.0241692867627291,0.000114006069635514,1.40561654896483,0.0826806210188254,"taxa","2",2020
1,0.000253578728673961,0.000253578728673961,3.12645158831567,0.0835217255978924,"Rep","2",2020
2,0.00040028608981445,0.000200143044907225,2.46762630254003,0.095705484539611,"Rep:Block","2",2020
47,0.00381205334898434,8.11075180634966e-05,NA,NA,"Residuals","2",2020
212,0.463236713792732,0.00218507883864496,1.07819310806196,0.390415550457783,"taxa","3",2020
1,0.00548957246210123,0.00548957246210123,2.7087440005207,0.10647156494451,"Rep","3",2020
2,0.00778774083594354,0.00389387041797177,1.92136968886077,0.157731895838857,"Rep:Block","3",2020
47,0.0952507529944361,0.00202661176583907,NA,NA,"Residuals","3",2020
212,0.322523048218331,0.00152133513310534,1.05410406293849,0.428290522531695,"taxa","4",2020
1,0.00500234395949098,0.00500234395949098,3.46602860682779,0.0689010877842104,"Rep","4",2020
2,0.00477912036381712,0.00238956018190856,1.65568061998569,0.201904996289461,"Rep:Block","4",2020
47,0.0678327252212888,0.00144324947279338,NA,NA,"Residuals","4",2020
212,0.0490993055419767,0.000231600497839513,0.925223354102962,0.652215987913374,"taxa","5",2020
1,1.9209146617728e-05,1.9209146617728e-05,0.076738829272403,0.782981218952686,"Rep","5",2020
2,3.28729004248298e-05,1.64364502124149e-05,0.0656621541703888,0.936532934326609,"Rep:Block","5",2020
47,0.0117649682643503,0.000250318473709581,NA,NA,"Residuals","5",2020
212,0.211773234484036,0.000998930351339792,0.986979862195474,0.542174011279591,"taxa","6",2020
1,0.00373992503451649,0.00373992503451649,3.69518324299358,0.0606428600676107,"Rep","6",2020
2,6.60216792547342e-05,3.30108396273671e-05,0.0326159215231343,0.967932129383563,"Rep:Block","6",2020
47,0.04756908252265,0.00101210813877979,NA,NA,"Residuals","6",2020
212,0.108922084678754,0.000513783418296011,1.14205139153747,0.300000202464264,"taxa","7",2020
1,0.00282030354188417,0.00282030354188417,6.26904541849414,0.0158165759526997,"Rep","7",2020
2,5.76045391819539e-05,2.88022695909769e-05,0.0640224477755744,0.938065600582936,"Rep:Block","7",2020
47,0.0211442504591706,0.000449877669344055,NA,NA,"Residuals","7",2020
212,0.186095322822437,0.000877808126520929,1.20306226007224,0.228315375091417,"taxa","8",2020
1,0.000545703751881521,0.000545703751881521,0.747903293707808,0.391533543347492,"Rep","8",2020
2,0.00585131038708101,0.0029256551935405,4.00969784055537,0.0246705020642448,"Rep:Block","8",2020
47,0.0342933057712295,0.00072964480364318,NA,NA,"Residuals","8",2020
212,1.12358995097975,0.00529995259896109,1.20973980779781,0.221345462851926,"taxa","9",2020
1,0.00807255508753018,0.00807255508753018,1.84259973229577,0.181129125587537,"Rep","9",2020
2,0.0324724922000144,0.0162362461000072,3.70600168013405,0.0320238712185995,"Rep:Block","9",2020
47,0.2059102052735,0.00438106819730852,NA,NA,"Residuals","9",2020
212,0.921561020343166,0.00434698594501493,1.22280309888637,0.208197035832424,"taxa","10",2020
1,0.00822084349388852,0.00822084349388852,2.31251562046452,0.135035850269547,"Rep","10",2020
2,0.0252742548752006,0.0126371274376003,3.55481218186146,0.0365046731855285,"Rep:Block","10",2020
47,0.16708196078483,0.00355493533584745,NA,NA,"Residuals","10",2020
212,0.102737770924404,0.000484612127001907,0.882094411402439,0.727290086176752,"taxa","11",2020
1,0.000942029206826129,0.000942029206826129,1.71468820613301,0.196743600268112,"Rep","11",2020
2,0.000394590884662975,0.000197295442331488,0.359118555601256,0.700190923323887,"Rep:Block","11",2020
47,0.025821238265048,0.00054938804819251,NA,NA,"Residuals","11",2020
212,0.343920394478532,0.00162226601169119,1.43475813316431,0.0707296343020545,"taxa","12",2020
1,4.44512275039798e-05,4.44512275039798e-05,0.0393133800072566,0.843684263540836,"Rep","12",2020
2,0.00562347608080561,0.00281173804040281,2.48674631208593,0.0940643273427774,"Rep:Block","12",2020
47,0.0531424083175096,0.00113068953867042,NA,NA,"Residuals","12",2020
212,0.659720959295334,0.00311189131743082,1.79129660374772,0.00951476744890107,"taxa","13",2020
1,0.000233091196046907,0.000233091196046907,0.134174180667414,0.715786551991396,"Rep","13",2020
2,0.0112164904106358,0.0056082452053179,3.2282716729209,0.048560053382752,"Rep:Block","13",2020
47,0.0816497343953246,0.00173722839138988,NA,NA,"Residuals","13",2020
212,0.411494766014636,0.00194101304723885,1.70302416306967,0.0157890662447353,"taxa","14",2020
1,0.0012360756480403,0.0012360756480403,1.08451960124078,0.303016186451969,"Rep","14",2020
2,0.0102057575314403,0.00510287876572016,4.47721144976269,0.0166031606680463,"Rep:Block","14",2020
47,0.053568008721491,0.0011397448664147,NA,NA,"Residuals","14",2020
212,0.148160952386962,0.00069887241691963,1.06809155644259,0.406067582432289,"taxa","15",2020
1,0.000152381324928988,0.000152381324928988,0.232885434559801,0.63163264551503,"Rep","15",2020
2,0.0042613643566603,0.00213068217833015,3.25633633413071,0.0473771105605116,"Rep:Block","15",2020
47,0.0307529849825081,0.000654318829415066,NA,NA,"Residuals","15",2020
212,1.95037716522529,0.00919989228879854,0.993604230607759,0.53052394215867,"taxa","16",2020
1,0.133582057238522,0.133582057238522,14.4270925179295,0.000417564736741174,"Rep","16",2020
2,0.00539139934777808,0.00269569967388904,0.291140212987635,0.748748965508946,"Rep:Block","16",2020
47,0.435178237223334,0.0092591114302837,NA,NA,"Residuals","16",2020
212,0.566751433915161,0.00267335582035453,0.910807840834914,0.67769179451246,"taxa","17",2020
1,0.0322866270500254,0.0322866270500254,10.9999996436598,0.00176310724332936,"Rep","17",2020
2,0.00184096408037514,0.000920482040187571,0.313606686086169,0.732323748750901,"Rep:Block","17",2020
47,0.137951956409911,0.00293514800872151,NA,NA,"Residuals","17",2020
212,0.213539234454778,0.00100726053988103,1.41258687329568,0.0796640265449757,"taxa","18",2020
1,1.08876297138597e-07,1.08876297138597e-07,0.00015268862629046,0.990193315225516,"Rep","18",2020
2,0.000314151342973923,0.000157075671486962,0.220283653405895,0.803114796366698,"Rep:Block","18",2020
47,0.0335138647182508,0.000713060951452145,NA,NA,"Residuals","18",2020
212,0.427036244291525,0.0020143219070355,1.23571082850589,0.195827648897789,"taxa","19",2020
1,0.00324877931495385,0.00324877931495385,1.9930040798805,0.164613624057188,"Rep","19",2020
2,0.000124624041125682,6.23120205628411e-05,0.0382260840666254,0.962525203540933,"Rep:Block","19",2020
47,0.0766143076897196,0.00163009165297276,NA,NA,"Residuals","19",2020
212,0.350677874716267,0.00165414091847296,1.22161784631804,0.209363672769837,"taxa","20",2020
1,0.00369218734653776,0.00369218734653776,2.72675798301636,0.105346490329256,"Rep","20",2020
2,0.000265248168119992,0.000132624084059996,0.0979456744766592,0.906882735152752,"Rep:Block","20",2020
47,0.0636407067910409,0.00135405759129874,NA,NA,"Residuals","20",2020
212,0.0598398016739511,0.000282263215443166,1.57662244472339,0.0323482294644545,"taxa","21",2020
1,0.000179442537895779,0.000179442537895779,1.00230252227668,0.321880705790384,"Rep","21",2020
2,3.27071987663733e-05,1.63535993831866e-05,0.0913454195548131,0.912864020357835,"Rep:Block","21",2020
47,0.00841442488036908,0.000179030316603597,NA,NA,"Residuals","21",2020
212,0.0512817972543709,0.000241895270067787,1.20849911046522,0.222627664526148,"taxa","22",2020
1,0.000198857042373964,0.000198857042373964,0.993481843408246,0.323997014925636,"Rep","22",2020
2,3.94210338593128e-05,1.97105169296564e-05,0.0984729555465235,0.906406668116623,"Rep:Block","22",2020
47,0.00940760120941203,0.00020016172785983,NA,NA,"Residuals","22",2020
212,0.0929556587619585,0.000438470088499804,1.03698908364856,0.456288068074348,"taxa","23",2020
1,0.000161025468268738,0.000161025468268738,0.380827922277196,0.54013873109651,"Rep","23",2020
2,6.12642018828233e-05,3.06321009414117e-05,0.0724454304149846,0.930220157305214,"Rep:Block","23",2020
47,0.0198730097398739,0.000422829994465403,NA,NA,"Residuals","23",2020
389,0.108971905165867,0.000280133432302999,3.1744657915225,1.61537223977546e-26,"taxa","1",2021
1,0.000270208498909953,0.000270208498909953,3.06199666821813,0.081042608669301,"Rep","1",2021
2,0.000331999023635965,0.000165999511817982,1.88110275643804,0.154000183786637,"Rep:Block","1",2021
341,0.0300918348751548,8.82458500737677e-05,NA,NA,"Residuals","1",2021
389,0.0614479766133467,0.000157963950162845,3.1744657915225,1.61537223977548e-26,"taxa","2",2021
1,0.00015236739686687,0.00015236739686687,3.06199666821817,0.081042608669299,"Rep","2",2021
2,0.000187210347556869,9.36051737784343e-05,1.88110275643798,0.154000183786647,"Rep:Block","2",2021
341,0.0169684320270138,4.97607977331783e-05,NA,NA,"Residuals","2",2021
389,0.0480876574977038,0.000123618656806437,3.56886479185343,2.19807085966274e-31,"taxa","3",2021
1,0.000458994780036527,0.000458994780036527,13.2511576523745,0.000314636954848139,"Rep","3",2021
