"GDD","PEV","Factor"
"850",0.549783583274361,"Year"
"850",0.00341935921145862,"Replication"
"850",0.136613333142816,"GxE"
"850",0.00295281239029079,"Block"
"850",0.0761687154573564,"Residual"
"900",0.229780489492295,"Genotype"
"900",0.545848052227264,"Year"
"900",0.00324325566695141,"Replication"
"900",0.138433280010534,"GxE"
"900",0.00237472458986406,"Block"
"900",0.0803201980130899,"Residual"
"950",0.259013629219596,"Genotype"
"950",0.477192717429953,"Year"
"950",0.00366055254312648,"Replication"
"950",0.163395936489745,"GxE"
"950",0.00208701641407287,"Block"
"950",0.0946501479035055,"Residual"
"1000",0.310638885050432,"Genotype"
"1000",0.349295579998711,"Year"
"1000",0.00455231373924889,"Replication"
"1000",0.211720440630022,"GxE"
"1000",0.00199431613028325,"Block"
"1000",0.121798464451303,"Residual"
"1050",0.354263202940598,"Genotype"
"1050",0.237021363091589,"Year"
"1050",0.00540850056556598,"Replication"
"1050",0.252001959432137,"GxE"
"1050",0.00206750017408109,"Block"
"1050",0.14923747379603,"Residual"
"1100",0.393824664427488,"Genotype"
"1100",0.157533440620205,"Year"
"1100",0.00603069653518174,"Replication"
"1100",0.2738557616569,"GxE"
"1100",0.00243282201713986,"Block"
"1100",0.166322614743088,"Residual"
"1150",0.401330031553229,"Genotype"
"1150",0.153154122895202,"Year"
"1150",0.00596374021049048,"Replication"
"1150",0.27228000127742,"GxE"
"1150",0.00300641368103029,"Block"
"1150",0.164265690382627,"Residual"
"1200",0.407654579788201,"Genotype"
"1200",0.152400388034893,"Year"
"1200",0.00493660893503519,"Replication"
"1200",0.26457107209754,"GxE"
"1200",0.00321261370191033,"Block"
"1200",0.167224737442424,"Residual"
"1250",0.394441918335996,"Genotype"
"1250",0.179883888930204,"Year"
"1250",0.00522043901432824,"Replication"
"1250",0.253296274210124,"GxE"
"1250",0.00356001735465476,"Block"
"1250",0.163597462154693,"Residual"
"1300",0.419446415893307,"Genotype"
"1300",0.138634799667418,"Year"
"1300",0.00600526793322925,"Replication"
"1300",0.267670790766641,"GxE"
"1300",0.003644893060322,"Block"
"1300",0.164597832679077,"Residual"
"1350",0.407249886498808,"Genotype"
"1350",0.152763704104357,"Year"
"1350",0.00586063611482281,"Replication"
"1350",0.26771816020551,"GxE"
"1350",0.00282579792273181,"Block"
"1350",0.163581815153767,"Residual"
"1400",0.379921527241894,"Genotype"
"1400",0.198294462903479,"Year"
"1400",0.00572759219192517,"Replication"
"1400",0.255691992394366,"GxE"
"1400",0.00238776420630553,"Block"
"1400",0.157976661062034,"Residual"
"1450",0.353967592105268,"Genotype"
"1450",0.250308793791984,"Year"
"1450",0.00666776132241747,"Replication"
"1450",0.241274793886026,"GxE"
"1450",0.00245595310955832,"Block"
"1450",0.145325105784746,"Residual"
"1500",0.347073477062276,"Genotype"
"1500",0.293804542486266,"Year"
"1500",0.00767921949358121,"Replication"
"1500",0.206058475677002,"GxE"
"1500",0.00256032537126875,"Block"
"1500",0.142823959909604,"Residual"
"1550",0.348059419623128,"Genotype"
"1550",0.29692543670057,"Year"
"1550",0.00872740063744481,"Replication"
"1550",0.200711838356257,"GxE"
"1550",0.00285197152208618,"Block"
"1550",0.142723933160516,"Residual"
"1600",0.356313004062341,"Genotype"
"1600",0.282611805613464,"Year"
"1600",0.0093938133280944,"Replication"
"1600",0.198935606946206,"GxE"
"1600",0.00314454422428238,"Block"
"1600",0.149601225825612,"Residual"
"1650",0.365447643009719,"Genotype"
"1650",0.25866315624485,"Year"
"1650",0.00965091971660904,"Replication"
"1650",0.202403601678593,"GxE"
"1650",0.0033095431492859,"Block"
"1650",0.160525136200942,"Residual"
