"GDD","PEV","Factor"
"11",0.709733125480797,"Year"
"11",0.000134617876692313,"Replication"
"11",0.103226377128588,"GxE"
"11",0.00105181200310034,"Block"
"11",0.0709261795579652,"Residual"
"12",0.170018249466912,"Genotype"
"12",0.484477153948061,"Year"
"12",0.001034697860354,"Replication"
"12",0.213892411453432,"GxE"
"12",0.00474346720299327,"Block"
"12",0.125834020068249,"Residual"
"13",0.145913537553235,"Genotype"
"13",0.555242522175096,"Year"
"13",0.000667024985598427,"Replication"
"13",0.183667383204251,"GxE"
"13",0.00403480263386724,"Block"
"13",0.110474729447949,"Residual"
"14",0.126227072943049,"Genotype"
"14",0.66423192645569,"Year"
"14",0.000212283769260975,"Replication"
"14",0.118447183501907,"GxE"
"14",0.00216553130417632,"Block"
"14",0.0887160020259174,"Residual"
"15",0.136417176988886,"Genotype"
"15",0.655835176647773,"Year"
"15",0.000206532046492748,"Replication"
"15",0.113942405720222,"GxE"
"15",0.001019261997386,"Block"
"15",0.0925794465992361,"Residual"
"16",0.144293717145432,"Genotype"
"16",0.316913402734913,"Year"
"16",0.0127763738478308,"Replication"
"16",0.35358897535716,"GxE"
"16",0.00144042043059348,"Block"
"16",0.170987110484073,"Residual"
"17",0.184204039746658,"Genotype"
"17",0.133049404254109,"Year"
"17",0.00568878052420753,"Replication"
"17",0.363063177506092,"GxE"
"17",0.00349776205359412,"Block"
"17",0.310496835915342,"Residual"
"18",0.219285397551616,"Genotype"
"18",0.0309514077805875,"Year"
"18",0.021535151104074,"Replication"
"18",0.3880252409908,"GxE"
"18",0.00110292644674229,"Block"
"18",0.339099876126181,"Residual"
"19",0.155532094408925,"Genotype"
"19",0.28611189482361,"Year"
"19",0.000998230926250906,"Replication"
"19",0.273526422770883,"GxE"
"19",0.00438026447261686,"Block"
"19",0.279451092597714,"Residual"
"20",0.141573730400608,"Genotype"
"20",0.471617498724023,"Year"
"20",0.00174463946140109,"Replication"
"20",0.215386723333852,"GxE"
"20",0.00188914375049615,"Block"
"20",0.167788264329624,"Residual"
"21",0.153251429932982,"Genotype"
"21",0.492662196868953,"Year"
"21",0.00254024330397831,"Replication"
"21",0.172542367167298,"GxE"
"21",0.00179398896148007,"Block"
"21",0.177209773765312,"Residual"
"22",0.141658535093109,"Genotype"
"22",0.566454740797094,"Year"
"22",0.00415731425787172,"Replication"
"22",0.145521148293209,"GxE"
"22",0.00225859579359046,"Block"
"22",0.139949665765131,"Residual"
"23",0.16924413232316,"Genotype"
"23",0.29566262627344,"Year"
"23",0.00512079890702133,"Replication"
"23",0.306806459425492,"GxE"
"23",0.00281744891449591,"Block"
"23",0.22034853415639,"Residual"
"24",0.240245238125468,"Genotype"
"24",0.114326269468086,"Year"
"24",0.00472931802622252,"Replication"
"24",0.331470715246969,"GxE"
"24",0.00396275375212599,"Block"
"24",0.305265705381128,"Residual"
"25",0.284129120740934,"Genotype"
"25",0.0671765987037592,"Year"
"25",0.000853889762836305,"Replication"
"25",0.312335927340773,"GxE"
"25",0.00383645742167857,"Block"
"25",0.331668006030018,"Residual"
"26",0.27840192143119,"Genotype"
"26",0.0861138072706812,"Year"
"26",0.000369700090824712,"Replication"
"26",0.316665700992022,"GxE"
"26",0.00257941223258041,"Block"
"26",0.3158694579827,"Residual"
"27",0.258655136051945,"Genotype"
"27",0.152334421344551,"Year"
"27",0.000374174228031261,"Replication"
"27",0.302592260029343,"GxE"
"27",0.00208302147495015,"Block"
"27",0.28396098687118,"Residual"
